io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84111285.829647627707706479
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84111285.829647627707706479
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84111285.829647627707706479
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84111285.829647627707706479
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84111285.829647627707706479
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84111285.829647627707706479
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84111285.829647627707706479
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   30       84111285.829647627707706479
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84111285.829647627707706479
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   30       84111237.924550074544872233
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84111237.924550074544872233
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84111237.924550074544872233
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84111237.924550074544872233
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84111237.924550074544872233
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84111237.924550074544872233
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84106879.884474230507241474
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106830.960544133230572614
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   30       84106830.960544133230572614
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84106830.960544133230572614
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106830.960544133230572614
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106830.960544133230572614
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84106830.960544133230572614
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   14       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   19       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp            0        84102443.141949232070021055
